French,English
partie,part
chercher,search
pensais,thought
demande,request
mois,month
frère,brother
laisser,let
car,because
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
vont,will
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
côté,side
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
venez,come
demandé,request
chambre,bedroom
mis,placed
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
